ctr_mean,ctr_std,n_ctrs,EMD_CD
173.8095238095238,73.94093524403046,21,11110101
87.5,32.274861218395145,4,11110102
50.0,0.0,1,11110103
160.0,71.87952884282609,10,11110109
50.0,0.0,3,11110110
187.5,84.21013094542815,14,11110111
50.0,0.0,1,11110112
62.5,20.91650066335189,6,11110113
104.16666666666667,36.79900360969936,6,11110115
50.0,0.0,1,11110118
95.0,32.59601202601324,5,11110119
58.333333333333336,14.433756729740644,3,11110121
25.0,0.0,1,11110123
58.333333333333336,25.819888974716115,6,11110130
25.0,0.0,1,11110135
25.0,0.0,1,11110137
25.0,0.0,1,11110138
50.0,0.0,1,11110139
195.0,83.74459919742193,20,11110140
50.0,0.0,1,11110143
62.5,17.67766952966369,2,11110146
75.0,25.0,3,11110148
112.5,46.770717334674266,6,11110149
25.0,0.0,1,11110150
25.0,0.0,1,11110151
25.0,0.0,1,11110152
25.0,0.0,1,11110153
25.0,0.0,1,11110155
25.0,0.0,1,11110156
25.0,0.0,1,11110157
25.0,0.0,1,11110159
25.0,0.0,2,11110160
25.0,0.0,1,11110162
37.5,17.67766952966369,2,11110164
62.5,32.274861218395145,4,11110165
25.0,0.0,2,11110166
50.0,25.0,3,11110167
62.5,32.274861218395145,4,11110168
62.5,13.693063937629153,6,11110169
62.5,17.67766952966369,2,11110170
112.5,46.770717334674266,6,11110173
62.5,32.274861218395145,4,11110174
56.25,23.935677693908453,4,11110175
50.0,0.0,1,11110177
62.5,17.67766952966369,2,11110178
62.5,17.67766952966369,2,11110179
50.0,0.0,2,11110180
80.0,32.59601202601324,5,11110181
435.0,171.94861596015318,50,11110182
337.9807692307692,145.98300873256574,52,11110183
217.85714285714286,68.67028808450178,28,11110184
138.63636363636363,30.338993810845892,11,11110185
112.5,34.46012188022556,6,11110186
137.5,61.237243569579455,8,11110187
25.0,0.0,1,11140101
25.0,0.0,1,11140102
25.0,0.0,1,11140106
25.0,0.0,1,11140107
25.0,0.0,1,11140108
25.0,0.0,1,11140109
25.0,0.0,1,11140110
75.0,25.0,3,11140112
75.0,25.0,3,11140118
125.0,54.00617248673217,7,11140121
62.5,17.67766952966369,2,11140122
50.0,0.0,1,11140128
75.0,25.0,3,11140129
50.0,0.0,1,11140130
25.0,0.0,1,11140135
50.0,0.0,2,11140136
62.5,17.67766952966369,2,11140138
62.5,17.67766952966369,2,11140139
50.0,0.0,1,11140141
140.9090909090909,64.49101417322346,11,11140142
37.5,17.67766952966369,2,11140143
116.66666666666667,57.420392277268206,24,11140144
25.0,0.0,1,11140146
25.0,0.0,1,11140147
25.0,0.0,2,11140149
25.0,0.0,1,11140150
25.0,0.0,2,11140154
25.0,0.0,1,11140155
25.0,0.0,1,11140159
25.0,0.0,1,11140160
83.33333333333333,36.18734322278729,15,11140162
25.0,0.0,1,11140165
50.0,0.0,3,11140167
58.333333333333336,14.433756729740644,3,11140171
62.5,17.67766952966369,2,11140173
66.66666666666667,14.433756729740644,3,11140174
129.16666666666666,72.95183134760703,12,11170101
118.75,81.27185020881237,12,11170102
31.25,12.500000000000002,4,11170103
37.5,17.67766952966369,2,11170104
25.0,0.0,3,11170106
37.5,14.433756729740644,4,11170107
50.0,25.0,3,11170108
50.0,25.0,3,11170109
50.0,25.0,3,11170110
41.666666666666664,14.433756729740644,3,11170111
25.0,0.0,1,11170112
37.5,17.67766952966369,2,11170114
37.5,17.67766952966369,2,11170115
37.5,17.67766952966369,2,11170116
25.0,0.0,1,11170117
25.0,0.0,1,11170118
50.0,25.0,3,11170119
37.5,17.67766952966369,2,11170120
37.5,17.67766952966369,2,11170121
25.0,0.0,1,11170124
25.0,0.0,1,11170125
30.0,11.180339887498949,5,11170126
33.333333333333336,14.433756729740644,3,11170127
131.8181818181818,74.23855895936853,11,11170130
96.15384615384616,49.51689688301435,39,11170131
41.666666666666664,14.433756729740644,3,11170132
25.0,0.0,2,11170133
33.333333333333336,14.433756729740644,3,11170134
25.0,0.0,4,11170135
50.0,20.412414523193153,10,11170136
25.0,0.0,1,11200101
60.714285714285715,19.669894811736082,7,11200102
25.0,0.0,1,11200103
25.0,0.0,1,11200104
33.333333333333336,14.433756729740644,3,11200105
37.5,14.433756729740644,4,11200106
50.0,28.867513459481287,7,11200107
62.5,26.22022120425379,6,11200108
65.0,28.50438562747845,5,11200109
75.0,32.274861218395145,7,11200110
75.0,35.35533905932738,6,11200111
53.125,20.863074009907006,8,11200112
83.33333333333333,34.2672208421171,12,11200113
25.0,0.0,7,11200114
201.31578947368422,91.84591724524222,19,11215101
31.25,12.5,4,11215102
101.66666666666667,65.78283174492378,15,11215103
87.5,58.630196997792865,14,11215104
25.0,0.0,5,11215105
25.0,0.0,2,11215107
25.0,0.0,1,11215109
25.0,0.0,1,11230101
25.0,0.0,1,11230102
25.0,0.0,1,11230103
47.22222222222222,26.352313834736496,9,11230104
37.5,18.89822365046136,8,11230105
50.0,22.360679774997898,6,11230107
71.42857142857143,33.62963545672746,7,11230108
45.0,20.91650066335189,5,11230109
60.0,28.50438562747845,5,11230110
195.0,95.49042387921199,20,11260101
87.5,46.770717334674266,6,11260102
87.5,46.770717334674266,6,11260103
87.5,46.770717334674266,6,11260104
138.75,82.90570102928928,20,11260105
82.95454545454545,44.57895859913677,22,11260106
172.05882352941177,76.812617798897,34,11290101
50.0,0.0,1,11290102
104.54545454545455,33.20049287695481,11,11290103
62.5,17.67766952966369,2,11290104
62.5,17.67766952966369,2,11290107
25.0,0.0,1,11290108
50.0,0.0,1,11290109
50.0,0.0,1,11290110
75.0,25.0,3,11290111
75.0,25.0,3,11290112
50.0,0.0,1,11290113
25.0,0.0,1,11290115
37.5,17.67766952966369,2,11290117
50.0,0.0,1,11290118
62.5,17.67766952966369,2,11290119
62.5,17.67766952966369,2,11290120
50.0,25.0,3,11290121
37.5,17.67766952966369,2,11290122
41.666666666666664,14.433756729740644,3,11290123
25.0,0.0,1,11290124
77.5,34.25800798515744,10,11290125
25.0,0.0,1,11290127
56.25,23.935677693908453,4,11290128
25.0,0.0,1,11290130
25.0,0.0,1,11290131
62.5,17.67766952966369,2,11290132
273.63013698630135,177.5063775731668,73,11290133
95.83333333333333,36.79900360969936,6,11290134
81.25,43.8137290942332,8,11290135
70.83333333333333,35.08647326336185,12,11290136
80.55555555555556,34.86083443891981,9,11290137
