,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
114,11440127,Sangam-dong,상암동,17.407129149223923
115,11470101,Sinjeong-dong,신정동,42.60030067735908
116,11470102,Mok-dong,목동,17.724777840393237
117,11470103,Sinwol-dong,신월동,23.33102147827689
118,11500101,Yeomchang-dong,염창동,16.934260808336198
119,11500102,Deungchon-dong,등촌동,17.946744832246402
120,11500103,Hwagok-dong,화곡동,18.386705578073215
121,11500104,Gayang-dong,가양동,17.576388138430808
122,11500106,Naebalsan-dong,내발산동,16.576700884367977
123,11500107,Oebalsan-dong,외발산동,16.5473096305777
124,11500108,Gonghang-dong,공항동,16.521283433247792
125,11500109,Banghwa-dong,방화동,19.586363254592836
126,11500110,Gaehwa-dong,개화동,39.29727530486599
127,11530102,Guro-dong,구로동,15.400484878434442
128,11530106,Gocheok-dong,고척동,20.935018999754075
129,11530107,Gaebong-dong,개봉동,43.45484596195697
130,11530108,Oryu-dong,오류동,20.01975592136198
131,11530109,Gung-dong,궁동,20.474999518104354
132,11530110,Onsu-dong,온수동,16.138911734629342
133,11530111,Cheonwang-dong,천왕동,23.354900084024184
134,11530112,Hang-dong,항동,18.637113958772026
135,11545102,Doksan-dong,독산동,16.34774400808025
136,11545103,Siheung-dong,시흥동,38.77177771993849
137,11560131,Yanghwa-dong,양화동,16.631235110090202
138,11590102,Sangdo-dong,상도동,16.507828367723587
139,11590104,Bon-dong,본동,19.882948752765977
140,11590105,Heukseok-dong,흑석동,15.315386872254022
141,11590106,Dongjak-dong,동작동,18.920112642773752
142,11590107,Sadang-dong,사당동,18.841536549861434
143,11590109,Sindaebang-dong,신대방동,15.49063448422194
144,11620101,Bongcheon-dong,봉천동,48.600894559605095
145,11620102,Sillim-dong,신림동,76.76265754914125
146,11620103,Namhyeon-dong,남현동,81.7337803684101
147,11650101,Bangbae-dong,방배동,18.91430954828335
148,11650102,Yangjae-dong,양재동,19.379846328495933
149,11650103,Umyeon-dong,우면동,22.39560883781776
150,11650104,Wonji-dong,원지동,68.42855839539148
151,11650107,Banpo-dong,반포동,15.431228201518216
152,11650108,Seocho-dong,서초동,16.51499899118222
153,11650109,Naegok-dong,내곡동,36.305127789393154
154,11650110,Yeomgok-dong,염곡동,42.28615164974817
155,11650111,Sinwon-dong,신원동,69.16604163102716
156,11680101,Yeoksam-dong,역삼동,16.662077320205857
157,11680103,Gaepo-dong,개포동,30.82579724108155
158,11680105,Samseong-dong,삼성동,16.790356652072536
159,11680106,Daechi-dong,대치동,16.519565904848363
160,11680111,Segok-dong,세곡동,25.8049467683485
161,11680112,Jagok-dong,자곡동,29.668509905478224
162,11680113,Yulhyeon-dong,율현동,17.25609759614374
163,11680114,Irwon-dong,일원동,23.061303458387336
164,11680115,Suseo-dong,수서동,24.867209419600144
165,11680118,Dogok-dong,도곡동,15.495923055309294
166,11710107,Garak-dong,가락동,15.44692302626591
167,11710108,Munjeong-dong,문정동,15.271387600980574
168,11710109,Jangji-dong,장지동,15.28965582466197
169,11710111,Bangi-dong,방이동,15.40682834631752
170,11710112,Ogeum-dong,오금동,16.091355516372435
171,11710113,Geoyeo-dong,거여동,15.42143589962878
172,11710114,Macheon-dong,마천동,29.8453478599184
