지점,시작일,종료일,지점명,위도,경도
889,2023-11-01,,현충원,37.5004,126.9765
890,2023-11-30,,제주가시리,33.3854,126.7336
891,2015-12-01,2019-08-09,색달,33.2913,126.4223
892,2020-10-23,,성산수산,33.4501,126.8513
893,2022-10-13,,애월,33.4659,126.3275
898,2019-12-24,,장생포,35.5048,129.386
899,2020-10-23,,마산회원,35.2235,128.5822
900,2022-09-24,,두서,35.6203,129.1436
901,2022-10-15,,울기,35.4868,129.4353
902,2024-09-24,,시천,35.2423,127.819
903,2020-10-23,,도천,35.4039,128.5149
904,2020-10-31,,사상,35.1694,128.9751
905,2021-07-24,,양산상북,35.4414,129.0429
906,2021-07-28,,화개,35.2324,127.6427
907,2015-07-13,,삼천포,34.9321,128.0631
908,2022-10-14,,진해,35.1122,128.7537
909,2024-10-15,,서이말,34.7877,128.7383
910,2024-10-15,,영도,35.0661,129.0742
911,2024-10-15,,매물도,34.6489,128.5772
912,2020-10-23,,백천,35.5263,127.7784
913,2022-10-21,,상주면,34.7238,127.9816
914,2020-10-23,,서하,35.6376,127.7156
915,2020-10-23,,삼가,35.4135,128.1018
916,2024-09-24,,단성,35.3111,127.967
917,2020-10-23,,사천,35.0369,128.0677
918,2021-07-30,,고성,34.9905,128.3309
919,2007-09-10,,창녕,35.5514,128.4767
920,2020-10-23,,함안,35.2961,128.3994
921,2024-10-13,,가덕도,34.9931,128.8314
922,2022-10-13,,단장,35.4865,128.9291
923,2021-07-23,,기장,35.2751,129.2511
924,2023-10-24,,간절곶,35.3587,129.3603
925,2024-10-01,,생림,35.3744,128.823
926,2020-10-23,,진북,35.1262,128.4748
927,2020-10-14,,송백,35.582,128.8837
928,2007-09-13,2015-09-07,웅상,35.4162,129.1731
929,2020-10-09,,개천,35.1137,128.307
930,2024-10-15,,사량도,34.8099,128.2381
931,2024-10-15,,욕지도,34.6223,128.2735
932,2020-10-23,,하동,35.0606,127.7666
933,2021-07-29,,금남,34.9968,127.8324
934,2022-10-08,,수곡,35.2214,127.9285
935,2021-10-15,,청덕,35.5698,128.3411
936,2021-10-15,,신포,35.3326,128.2023
937,2024-11-30,,해운대,35.1772,129.1607
938,2020-10-15,,부산진,35.1589,129.0193
939,2020-10-14,,금정구,35.2932,129.1035
940,2022-10-14,,동래,35.2091,129.0901
941,2020-10-23,,북구,35.213,129.0026
942,2021-07-22,,부산남구,35.1186,129.0884
943,2024-10-15,,매곡,35.6671,129.375
944,2022-10-13,,길곡,35.3852,128.5701
945,2020-10-17,,대병,35.5345,127.9901
946,2021-07-27,,북상,35.78,127.8183
947,2021-10-15,,명사,34.7219,128.5908
948,2023-11-01,,삼장,35.3107,127.8345
949,2012-12-20,,정자,35.6375,129.4412
950,2023-11-01,,사하,35.09,128.9839
951,2024-09-27,,내장산,35.5087,126.9073
953,2022-10-14,,장목,34.9984,128.6798
954,2023-10-25,,온산,35.431,129.3601
964,2021-10-15,,마량,34.459,126.8157
965,2022-10-15,,한라산남벽,33.3524,126.533
966,2017-12-22,,풍도,37.1161,126.3856
967,2017-12-22,,도리도,37.1189,126.6128
968,2017-12-06,2020-01-31,남항,35.081,129.045
969,2017-12-06,2020-07-27,북항,35.091,129.127
970,2024-10-15,,철원장흥,38.2016,127.2502
972,2019-01-01,,안동옥동,36.5498,128.6834
973,2024-10-15,,화순능주,35.0233,126.9496
974,2020-10-23,,대곡,35.2444,128.1561
977,2020-10-23,,오창가곡,36.7246,127.4669
978,2018-02-01,,춘천신북,37.9546,127.7763
980,2022-11-26,,강정,33.2599,126.4892
989,2023-11-01,,안덕화순,33.2579,126.3299
990,2022-10-13,,낙천,33.3182,126.2305
991,2021-11-10,,옥포,35.8028,128.4456
992,2021-11-10,,하빈,35.9062,128.4464
993,2024-04-06,,제주금악,33.3423,126.3099
994,2022-05-02,,심포,35.8545,126.6421
995,2023-12-19,,오천,35.9286,129.3822
996,2023-12-19,,화동,36.3721,127.8949
